,"F(1,2)","F(2,3)","F(3,4)","F(4,5)"
2026-01-05,0.0284575884,0.0299579924,0.0317393774,0.0342739684
2026-01-06,0.02796443,0.0298683628,0.0326475723,0.0351486947
2026-01-07,0.028317499,0.0297506028,0.0315215183,0.034196359
2026-01-08,0.0280398522,0.0296800538,0.0324267758,0.0347201371
2026-01-09,0.0282280818,0.0296719212,0.0318323727,0.0343599584
2026-01-12,0.0278118275,0.0295495797,0.0324851411,0.0344988485
2026-01-13,0.028147531,0.0296459455,0.0325318562,0.0342028305
2026-01-14,0.0278180341,0.0295626375,0.0315023814,0.0336471468
2026-01-15,0.0278812667,0.0295376867,0.0316092617,0.033973613
2026-01-16,0.0278123815,0.0296247526,0.031957987,0.0341018481
