,Y_1Y,Y_2Y,Y_3Y,Y_4Y,Y_5Y
2026-01-05,0.0243047291,0.0263422789,0.027495227,0.0285237667,0.0296162655
2026-01-06,0.0241641751,0.0260256958,0.0272521619,0.0285542807,0.0298078076
2026-01-07,0.0238833034,0.0260585119,0.0272366024,0.0282741294,0.029399581
2026-01-08,0.0239088135,0.0259337391,0.0271295072,0.0284090649,0.0296086272
2026-01-09,0.0238191599,0.0259809019,0.0271586258,0.0282907999,0.0294437962
2026-01-12,0.0239953243,0.0258655178,0.0270412846,0.0283564255,0.0295238053
2026-01-13,0.0239311108,0.0259983486,0.0271619947,0.0284603946,0.0295520655
2026-01-14,0.0240016693,0.0258724659,0.0270509618,0.0281305401,0.0291784464
2026-01-15,0.023598747,0.025698181,0.0269234933,0.0280588572,0.0291826202
2026-01-16,0.0236699937,0.0256984111,0.0269521425,0.0281639143,0.0292923629
